height,ts,gap_s,txs,counted_txs,bytes,fullness,fee_speck
595097,1787787390.001,6.000999927520752,0,0,0,0.000000,0
595098,1787787396.0,5.999000072479248,0,0,0,0.000000,0
595099,1787787402.0,6.0,0,0,0,0.000000,0
595100,1787787408.0,6.0,0,0,0,0.000000,0
595101,1787787414.0,6.0,0,0,0,0.000000,0
595102,1787787420.001,6.000999927520752,0,0,0,0.000000,0
595103,1787787426.001,6.0,0,0,0,0.000000,0
595104,1787787432.0,5.999000072479248,0,0,0,0.000000,0
595105,1787787438.0,6.0,0,0,0,0.000000,0
595106,1787787444.0,6.0,0,0,0,0.000000,0
595107,1787787450.0,6.0,0,0,0,0.000000,0
595108,1787787456.0,6.0,0,0,0,0.000000,0
595109,1787787462.0,6.0,0,0,0,0.000000,0
595110,1787787468.0,6.0,0,0,0,0.000000,0
595111,1787787474.0,6.0,0,0,0,0.000000,0
595112,1787787480.0,6.0,0,0,0,0.000000,0
595113,1787787486.0,6.0,0,0,0,0.000000,0
595114,1787787492.0,6.0,0,0,0,0.000000,0
595115,1787787498.0,6.0,0,0,0,0.000000,0
595116,1787787504.0,6.0,0,0,0,0.000000,0
595117,1787787510.0,6.0,0,0,0,0.000000,0
595118,1787787516.001,6.000999927520752,0,0,0,0.000000,0
595119,1787787522.0,5.999000072479248,0,0,0,0.000000,0
595120,1787787528.0,6.0,0,0,0,0.000000,0
595121,1787787534.001,6.000999927520752,0,0,0,0.000000,0
595122,1787787540.0,5.999000072479248,0,0,0,0.000000,0
595123,1787787546.0,6.0,0,0,0,0.000000,0
595124,1787787552.0,6.0,0,0,0,0.000000,0
595125,1787787558.0,6.0,0,0,0,0.000000,0
595126,1787787564.0,6.0,0,0,0,0.000000,0
595127,1787787570.0,6.0,0,0,0,0.000000,0
595128,1787787576.0,6.0,0,0,0,0.000000,0
595129,1787787582.0,6.0,0,0,0,0.000000,0
595130,1787787588.0,6.0,0,0,0,0.000000,0
595131,1787787594.0,6.0,0,0,0,0.000000,0
